Date : 2020-12-28 15:58:41
Directory : /home/djamel/Developement/Flutter Apps/majalatek/lib
Total : 75 files,  6872 codes, 62 comments, 386 blanks, all 7320 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         75 |      6,872 |         62 |        386 |      7,320 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |         75 |      6,872 |         62 |        386 |      7,320 |
| models                                                                                                                     |          1 |        117 |          0 |          7 |        124 |
| models/providers                                                                                                           |          1 |        117 |          0 |          7 |        124 |
| services                                                                                                                   |          7 |      1,035 |          8 |         70 |      1,113 |
| services/Language                                                                                                          |          2 |        264 |          0 |          5 |        269 |
| utils                                                                                                                      |          7 |        135 |          8 |         34 |        177 |
| utils/textValidator                                                                                                        |          1 |         37 |          8 |          7 |         52 |
| view                                                                                                                       |         59 |      5,559 |         46 |        272 |      5,877 |
| view/bloc                                                                                                                  |          3 |         57 |          0 |         12 |         69 |
| view/bloc/Providers                                                                                                        |          1 |         28 |          0 |          2 |         30 |
| view/bloc/flagBloc                                                                                                         |          1 |         11 |          0 |          4 |         15 |
| view/bloc/searchBloc                                                                                                       |          1 |         18 |          0 |          6 |         24 |
| view/components                                                                                                            |         18 |      1,251 |         16 |         71 |      1,338 |
| view/components/drawer                                                                                                     |          1 |        132 |          0 |          2 |        134 |
| view/dialogs                                                                                                               |          3 |        166 |          0 |          9 |        175 |
| view/routes                                                                                                                |          1 |        111 |          0 |          3 |        114 |
| view/screens                                                                                                               |         33 |      3,936 |         25 |        164 |      4,125 |
| view/screens/BeforeLoginScreen                                                                                             |          1 |         67 |          0 |          2 |         69 |
| view/screens/ChatScreen                                                                                                    |          1 |        166 |          4 |          9 |        179 |
| view/screens/ContinueRegisterScreen                                                                                        |          1 |        232 |          0 |         13 |        245 |
| view/screens/ConverstaionScreen                                                                                            |          1 |          0 |          0 |          1 |          1 |
| view/screens/DeparmentsScreen                                                                                              |          1 |        107 |          0 |          3 |        110 |
| view/screens/EditContactsScreen                                                                                            |          2 |        148 |          1 |          6 |        155 |
| view/screens/EditContactsScreen/widgets                                                                                    |          1 |         46 |          0 |          3 |         49 |
| view/screens/EditImages                                                                                                    |          1 |        210 |          0 |          9 |        219 |
| view/screens/HomeScreen                                                                                                    |          3 |        574 |         15 |         20 |        609 |
| view/screens/HomeScreen/widgets                                                                                            |          2 |        245 |         15 |          8 |        268 |
| view/screens/PhoneScreen                                                                                                   |          1 |        114 |          0 |          5 |        119 |
| view/screens/RateProviderScreen                                                                                            |          2 |        259 |          0 |          9 |        268 |
| view/screens/RateProviderScreen/widgets                                                                                    |          1 |         41 |          0 |          4 |         45 |
| view/screens/RegisterScreen                                                                                                |          2 |        345 |          1 |         18 |        364 |
| view/screens/RegisterScreen/dialog                                                                                         |          1 |         69 |          1 |          4 |         74 |
| view/screens/SearchProvidersScreen                                                                                         |          3 |        254 |          0 |         10 |        264 |
